Epoch,Dataset,Recall,Precision,TopKAcc
27,Theobroma_cacao_5e3,0.8885,0.9331,0.8278
28,Brachypodium_distachyon_5e3,0.6551,0.8689,0.6749
28,Brassica_juncea_5e3,0.5417,0.7711,0.5874
28,Brassica_napus_5e3,0.5867,0.8243,0.6118
28,Cajanus_cajan_5e3,0.8706,0.9064,0.7834
28,Glycine_max_5e3,0.8675,0.9486,0.8320
28,Gossypium_raimondii_5e3,0.7129,0.8097,0.6768
28,Lactuca_sativa_5e3,0.7617,0.8949,0.7560
28,Medicago_truncatula_5e3,0.8589,0.9228,0.8037
28,Pisum_sativum_5e3,0.8274,0.8855,0.7461
28,Theobroma_cacao_5e3,0.8968,0.9163,0.8274
29,Brachypodium_distachyon_5e3,0.5741,0.9488,0.6743
29,Brassica_juncea_5e3,0.5079,0.8275,0.5918
29,Brassica_napus_5e3,0.5217,0.9068,0.6160
29,Cajanus_cajan_5e3,0.8251,0.9591,0.7848
29,Glycine_max_5e3,0.8345,0.9753,0.8327
29,Gossypium_raimondii_5e3,0.6663,0.8788,0.6803
29,Lactuca_sativa_5e3,0.7220,0.9492,0.7596
29,Medicago_truncatula_5e3,0.8214,0.9673,0.8052
29,Pisum_sativum_5e3,0.7843,0.9340,0.7487
29,Theobroma_cacao_5e3,0.8615,0.9536,0.8273
30,Brachypodium_distachyon_5e3,0.6533,0.8999,0.6822
30,Brassica_juncea_5e3,0.5267,0.8115,0.5974
30,Brassica_napus_5e3,0.5691,0.8777,0.6238
30,Cajanus_cajan_5e3,0.8471,0.9464,0.7868
30,Glycine_max_5e3,0.8700,0.9490,0.8351
30,Gossypium_raimondii_5e3,0.6793,0.8744,0.6816
30,Lactuca_sativa_5e3,0.7602,0.9185,0.7618
30,Medicago_truncatula_5e3,0.8524,0.9451,0.8081
30,Pisum_sativum_5e3,0.8075,0.9199,0.7492
30,Theobroma_cacao_5e3,0.8883,0.9283,0.8293
31,Brachypodium_distachyon_5e3,0.6726,0.8764,0.6869
31,Brassica_juncea_5e3,0.5718,0.7039,0.5887
31,Brassica_napus_5e3,0.5965,0.8419,0.6248
31,Cajanus_cajan_5e3,0.8669,0.9185,0.7852
31,Glycine_max_5e3,0.8741,0.9481,0.8371
31,Gossypium_raimondii_5e3,0.7198,0.8171,0.6833
31,Lactuca_sativa_5e3,0.7756,0.9041,0.7667
31,Medicago_truncatula_5e3,0.8657,0.9294,0.8110
31,Pisum_sativum_5e3,0.8324,0.8894,0.7529
31,Theobroma_cacao_5e3,0.8891,0.9272,0.8314
32,Brachypodium_distachyon_5e3,0.6857,0.8662,0.6905
32,Brassica_juncea_5e3,0.6193,0.7018,0.6071
32,Brassica_napus_5e3,0.6207,0.8050,0.6309
32,Cajanus_cajan_5e3,0.8812,0.9089,0.7887
32,Glycine_max_5e3,0.8871,0.9330,0.8369
32,Gossypium_raimondii_5e3,0.7405,0.8079,0.6870
32,Lactuca_sativa_5e3,0.7824,0.8991,0.7688
32,Medicago_truncatula_5e3,0.8672,0.9341,0.8125
32,Pisum_sativum_5e3,0.8218,0.8994,0.7518
32,Theobroma_cacao_5e3,0.8976,0.9289,0.8313
33,Brachypodium_distachyon_5e3,0.6189,0.9465,0.6923
33,Brassica_juncea_5e3,0.4929,0.8411,0.6008
33,Brassica_napus_5e3,0.5572,0.9004,0.6324
33,Cajanus_cajan_5e3,0.8470,0.9535,0.7909
33,Glycine_max_5e3,0.8617,0.9683,0.8393
33,Gossypium_raimondii_5e3,0.6552,0.8929,0.6856
33,Lactuca_sativa_5e3,0.7516,0.9478,0.7708
33,Medicago_truncatula_5e3,0.8442,0.9646,0.8140
33,Pisum_sativum_5e3,0.7985,0.9376,0.7548
33,Theobroma_cacao_5e3,0.8549,0.9574,0.8315
34,Brachypodium_distachyon_5e3,0.6584,0.9116,0.6946
34,Brassica_juncea_5e3,0.5094,0.8506,0.6103
34,Brassica_napus_5e3,0.5883,0.8717,0.6349
34,Cajanus_cajan_5e3,0.8655,0.9387,0.7934
34,Glycine_max_5e3,0.8785,0.9544,0.8414
34,Gossypium_raimondii_5e3,0.7145,0.8662,0.7002
34,Lactuca_sativa_5e3,0.7760,0.9281,0.7748
34,Medicago_truncatula_5e3,0.8676,0.9404,0.8154
34,Pisum_sativum_5e3,0.8179,0.9218,0.7560
34,Theobroma_cacao_5e3,0.8849,0.9415,0.8319
35,Brachypodium_distachyon_5e3,0.6777,0.8998,0.6984
35,Brassica_juncea_5e3,0.5618,0.7927,0.6119
35,Brassica_napus_5e3,0.5848,0.8727,0.6354
35,Cajanus_cajan_5e3,0.8613,0.9488,0.7928
35,Glycine_max_5e3,0.8744,0.9584,0.8415
35,Gossypium_raimondii_5e3,0.6977,0.8751,0.6910
35,Lactuca_sativa_5e3,0.7679,0.9320,0.7729
35,Medicago_truncatula_5e3,0.8553,0.9535,0.8151
35,Pisum_sativum_5e3,0.8237,0.9029,0.7551
35,Theobroma_cacao_5e3,0.8940,0.9369,0.8313
36,Brachypodium_distachyon_5e3,0.6767,0.9075,0.7021
36,Brassica_juncea_5e3,0.6096,0.7343,0.6184
36,Brassica_napus_5e3,0.5971,0.8696,0.6391
36,Cajanus_cajan_5e3,0.8668,0.9441,0.7947
36,Glycine_max_5e3,0.8779,0.9561,0.8431
36,Gossypium_raimondii_5e3,0.7273,0.8296,0.6947
36,Lactuca_sativa_5e3,0.7738,0.9355,0.7767
36,Medicago_truncatula_5e3,0.8682,0.9507,0.8194
36,Pisum_sativum_5e3,0.8252,0.9179,0.7565
36,Theobroma_cacao_5e3,0.9015,0.9286,0.8352
37,Brachypodium_distachyon_5e3,0.6563,0.9214,0.6978
37,Brassica_juncea_5e3,0.5025,0.8525,0.6172
37,Brassica_napus_5e3,0.5688,0.8978,0.6381
37,Cajanus_cajan_5e3,0.8656,0.9412,0.7956
37,Glycine_max_5e3,0.8736,0.9626,0.8433
37,Gossypium_raimondii_5e3,0.6948,0.8871,0.7000
37,Lactuca_sativa_5e3,0.7635,0.9402,0.7753
37,Medicago_truncatula_5e3,0.8544,0.9620,0.8181
37,Pisum_sativum_5e3,0.8132,0.9295,0.7560
37,Theobroma_cacao_5e3,0.8854,0.9508,0.8332
38,Brachypodium_distachyon_5e3,0.6977,0.8813,0.7055
38,Brassica_juncea_5e3,0.5858,0.7706,0.6206
38,Brassica_napus_5e3,0.6188,0.8518,0.6429
38,Cajanus_cajan_5e3,0.8736,0.9396,0.7973
38,Glycine_max_5e3,0.8866,0.9553,0.8451
38,Gossypium_raimondii_5e3,0.7338,0.8654,0.7034
38,Lactuca_sativa_5e3,0.7890,0.9269,0.7818
38,Medicago_truncatula_5e3,0.8728,0.9504,0.8220
38,Pisum_sativum_5e3,0.8348,0.9183,0.7603
38,Theobroma_cacao_5e3,0.9009,0.9404,0.8338
39,Brachypodium_distachyon_5e3,0.6981,0.8914,0.7065
39,Brassica_juncea_5e3,0.5598,0.7842,0.6146
39,Brassica_napus_5e3,0.6084,0.8711,0.6431
39,Cajanus_cajan_5e3,0.8728,0.9323,0.7935
39,Glycine_max_5e3,0.8843,0.9544,0.8448
39,Gossypium_raimondii_5e3,0.7210,0.8790,0.7020
39,Lactuca_sativa_5e3,0.7903,0.9204,0.7806
39,Medicago_truncatula_5e3,0.8720,0.9512,0.8218
39,Pisum_sativum_5e3,0.8221,0.9245,0.7592
39,Theobroma_cacao_5e3,0.8896,0.9472,0.8327
40,Brachypodium_distachyon_5e3,0.6897,0.8978,0.7071
40,Brassica_juncea_5e3,0.5714,0.7700,0.6081
40,Brassica_napus_5e3,0.6057,0.8684,0.6449
40,Cajanus_cajan_5e3,0.8722,0.9348,0.7961
40,Glycine_max_5e3,0.8883,0.9494,0.8465
40,Gossypium_raimondii_5e3,0.7396,0.8373,0.7028
40,Lactuca_sativa_5e3,0.7943,0.9145,0.7816
40,Medicago_truncatula_5e3,0.8792,0.9408,0.8226
40,Pisum_sativum_5e3,0.8247,0.9144,0.7591
40,Theobroma_cacao_5e3,0.9019,0.9239,0.8351
41,Brachypodium_distachyon_5e3,0.6930,0.9195,0.7150
41,Brassica_juncea_5e3,0.5858,0.7852,0.6296
41,Brassica_napus_5e3,0.6307,0.8679,0.6550
41,Cajanus_cajan_5e3,0.8790,0.9400,0.7991
41,Glycine_max_5e3,0.8883,0.9630,0.8489
41,Gossypium_raimondii_5e3,0.7128,0.9040,0.7145
41,Lactuca_sativa_5e3,0.7848,0.9410,0.7852
41,Medicago_truncatula_5e3,0.8704,0.9637,0.8263
41,Pisum_sativum_5e3,0.8367,0.9263,0.7620
41,Theobroma_cacao_5e3,0.8975,0.9480,0.8372
42,Brachypodium_distachyon_5e3,0.7144,0.8698,0.7125
42,Brassica_juncea_5e3,0.6024,0.7785,0.6250
42,Brassica_napus_5e3,0.6432,0.8268,0.6512
42,Cajanus_cajan_5e3,0.8865,0.9267,0.7978
42,Glycine_max_5e3,0.8992,0.9379,0.8477
42,Gossypium_raimondii_5e3,0.7467,0.8528,0.7097
42,Lactuca_sativa_5e3,0.8090,0.8997,0.7861
42,Medicago_truncatula_5e3,0.8895,0.9348,0.8259
42,Pisum_sativum_5e3,0.8508,0.8897,0.7632
42,Theobroma_cacao_5e3,0.9034,0.9334,0.8358
43,Brachypodium_distachyon_5e3,0.6938,0.9300,0.7186
43,Brassica_juncea_5e3,0.5969,0.7956,0.6291
43,Brassica_napus_5e3,0.6119,0.8907,0.6571
43,Cajanus_cajan_5e3,0.8721,0.9545,0.7993
43,Glycine_max_5e3,0.8821,0.9695,0.8502
43,Gossypium_raimondii_5e3,0.7446,0.8667,0.7139
43,Lactuca_sativa_5e3,0.7819,0.9489,0.7904
43,Medicago_truncatula_5e3,0.8749,0.9618,0.8277
43,Pisum_sativum_5e3,0.8273,0.9324,0.7650
43,Theobroma_cacao_5e3,0.8946,0.9600,0.8370
44,Brachypodium_distachyon_5e3,0.7033,0.9127,0.7181
44,Brassica_juncea_5e3,0.5792,0.8001,0.6274
44,Brassica_napus_5e3,0.6287,0.8829,0.6605
44,Cajanus_cajan_5e3,0.8742,0.9485,0.8004
44,Glycine_max_5e3,0.8908,0.9614,0.8507
44,Gossypium_raimondii_5e3,0.7308,0.8888,0.7152
44,Lactuca_sativa_5e3,0.8031,0.9317,0.7900
44,Medicago_truncatula_5e3,0.8814,0.9553,0.8294
44,Pisum_sativum_5e3,0.8291,0.9452,0.7684
44,Theobroma_cacao_5e3,0.8966,0.9566,0.8383
45,Brachypodium_distachyon_5e3,0.7149,0.8942,0.7178
45,Brassica_juncea_5e3,0.6344,0.7583,0.6432
45,Brassica_napus_5e3,0.6539,0.8531,0.6629
45,Cajanus_cajan_5e3,0.8902,0.9326,0.8016
45,Glycine_max_5e3,0.8987,0.9513,0.8518
45,Gossypium_raimondii_5e3,0.7643,0.8472,0.7132
45,Lactuca_sativa_5e3,0.8089,0.9260,0.7919
45,Medicago_truncatula_5e3,0.8917,0.9405,0.8293
45,Pisum_sativum_5e3,0.8497,0.9205,0.7665
45,Theobroma_cacao_5e3,0.9094,0.9315,0.8394
46,Brachypodium_distachyon_5e3,0.7356,0.8716,0.7215
46,Brassica_juncea_5e3,0.6605,0.7447,0.6434
46,Brassica_napus_5e3,0.6682,0.8315,0.6629
46,Cajanus_cajan_5e3,0.8981,0.9231,0.8015
46,Glycine_max_5e3,0.9046,0.9435,0.8523
