Epoch,Dataset,Recall,Precision,TopKAcc
30,Cajanus_cajan_5e3,0.8374,0.9478,0.7742
30,Glycine_max_5e3,0.8465,0.9598,0.8222
30,Gossypium_raimondii_5e3,0.6442,0.8832,0.6494
30,Lactuca_sativa_5e3,0.7134,0.9343,0.7331
30,Medicago_truncatula_5e3,0.8253,0.9515,0.7897
30,Pisum_sativum_5e3,0.7841,0.9334,0.7311
30,Theobroma_cacao_5e3,0.8650,0.9512,0.8150
31,Brachypodium_distachyon_5e3,0.5929,0.8836,0.6318
31,Brassica_juncea_5e3,0.5173,0.6863,0.5351
31,Brassica_napus_5e3,0.5193,0.8743,0.5718
31,Cajanus_cajan_5e3,0.8457,0.9210,0.7741
31,Glycine_max_5e3,0.8540,0.9500,0.8212
31,Gossypium_raimondii_5e3,0.6349,0.8587,0.6443
31,Lactuca_sativa_5e3,0.7231,0.9100,0.7306
31,Medicago_truncatula_5e3,0.8305,0.9463,0.7904
31,Pisum_sativum_5e3,0.7870,0.9289,0.7316
31,Theobroma_cacao_5e3,0.8700,0.9401,0.8150
32,Brachypodium_distachyon_5e3,0.6096,0.8807,0.6399
32,Brassica_juncea_5e3,0.5232,0.7395,0.5583
32,Brassica_napus_5e3,0.5342,0.8517,0.5787
32,Cajanus_cajan_5e3,0.8509,0.9270,0.7766
32,Glycine_max_5e3,0.8579,0.9544,0.8250
32,Gossypium_raimondii_5e3,0.6623,0.8579,0.6546
32,Lactuca_sativa_5e3,0.7310,0.9191,0.7364
32,Medicago_truncatula_5e3,0.8352,0.9506,0.7945
32,Pisum_sativum_5e3,0.7960,0.9297,0.7337
32,Theobroma_cacao_5e3,0.8735,0.9339,0.8158
33,Brachypodium_distachyon_5e3,0.5814,0.9387,0.6444
33,Brassica_juncea_5e3,0.4781,0.7804,0.5571
33,Brassica_napus_5e3,0.5082,0.9067,0.5827
33,Cajanus_cajan_5e3,0.8433,0.9465,0.7777
33,Glycine_max_5e3,0.8515,0.9657,0.8274
33,Gossypium_raimondii_5e3,0.6458,0.8815,0.6522
33,Lactuca_sativa_5e3,0.7201,0.9381,0.7402
33,Medicago_truncatula_5e3,0.8291,0.9613,0.7965
33,Pisum_sativum_5e3,0.7949,0.9362,0.7354
33,Theobroma_cacao_5e3,0.8738,0.9546,0.8178
34,Brachypodium_distachyon_5e3,0.6194,0.8744,0.6427
34,Brassica_juncea_5e3,0.5178,0.7073,0.5480
34,Brassica_napus_5e3,0.5501,0.8388,0.5833
34,Cajanus_cajan_5e3,0.8559,0.9276,0.7781
34,Glycine_max_5e3,0.8653,0.9415,0.8258
34,Gossypium_raimondii_5e3,0.6730,0.8399,0.6515
34,Lactuca_sativa_5e3,0.7460,0.8935,0.7403
34,Medicago_truncatula_5e3,0.8482,0.9369,0.7970
34,Pisum_sativum_5e3,0.8074,0.9191,0.7357
34,Theobroma_cacao_5e3,0.8676,0.9370,0.8173
35,Brachypodium_distachyon_5e3,0.6000,0.9212,0.6479
35,Brassica_juncea_5e3,0.5004,0.7786,0.5566
35,Brassica_napus_5e3,0.5336,0.8856,0.5886
35,Cajanus_cajan_5e3,0.8536,0.9280,0.7792
35,Glycine_max_5e3,0.8598,0.9599,0.8284
